;time;base_elec_rate;opt_elec_rate;base_charg_load;target_charg_load;res_charg_load
1;2021-11-01 00:00:00;0.116;;660.0;0.0;
2;2021-11-01 00:01:00;0.116;;660.0;0.0;
3;2021-11-01 00:02:00;0.116;;660.0;0.0;
4;2021-11-01 00:03:00;0.116;;660.0;0.0;
5;2021-11-01 00:04:00;0.116;;660.0;0.0;
6;2021-11-01 00:05:00;0.116;;660.0;0.0;
7;2021-11-01 00:06:00;0.116;;660.0;0.0;
8;2021-11-01 00:07:00;0.116;;660.0;0.0;
9;2021-11-01 00:08:00;0.116;;660.0;0.0;
10;2021-11-01 00:09:00;0.116;;660.0;0.0;
11;2021-11-01 00:10:00;0.116;;660.0;0.0;
12;2021-11-01 00:11:00;0.116;;660.0;0.0;
13;2021-11-01 00:12:00;0.116;;660.0;0.0;
14;2021-11-01 00:13:00;0.116;;660.0;0.0;
15;2021-11-01 00:14:00;0.116;;660.0;0.0;
16;2021-11-01 00:15:00;0.116;;660.0;0.0;
17;2021-11-01 00:16:00;0.116;;660.0;0.0;
18;2021-11-01 00:17:00;0.116;;660.0;0.0;
19;2021-11-01 00:18:00;0.116;;660.0;0.0;
20;2021-11-01 00:19:00;0.116;;660.0;0.0;
21;2021-11-01 00:20:00;0.116;;660.0;0.0;
22;2021-11-01 00:21:00;0.116;;660.0;0.0;
23;2021-11-01 00:22:00;0.116;;660.0;0.0;
24;2021-11-01 00:23:00;0.116;;660.0;0.0;
25;2021-11-01 00:24:00;0.116;;660.0;0.0;
26;2021-11-01 00:25:00;0.116;;660.0;0.0;
27;2021-11-01 00:26:00;0.116;;660.0;0.0;
28;2021-11-01 00:27:00;0.116;;660.0;0.0;
29;2021-11-01 00:28:00;0.116;;660.0;9.140406661695199;
30;2021-11-01 00:29:00;0.116;;660.0;0.0;
31;2021-11-01 00:30:00;0.116;;660.0;0.0;
32;2021-11-01 00:31:00;0.116;;660.0;9.140406661695199;
33;2021-11-01 00:32:00;0.116;;660.0;0.0;
34;2021-11-01 00:33:00;0.116;;660.0;0.0;
