;time;base_elec_rate;opt_elec_rate;base_charg_load;target_charg_load;res_charg_load;rel_charg_load;CMA_opt_elec_rate;CMA_base_elec_rate;CMA_base_charg_load;CMA_target_charg_load;CMA_res_charg_load;CMA_rel_charg_load
1;2021-11-01 00:00:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0;0.0;489.31034482758616;-0.2586206896551724
2;2021-11-01 00:01:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.26600000000000007;0.116;660.0;0.0;489.31034482758616;-0.2586206896551724
3;2021-11-01 00:02:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.11599999999999999;660.0;0.0;489.3103448275862;-0.2586206896551724
4;2021-11-01 00:03:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.11600000000000002;660.0000000000002;0.0;489.3103448275864;-0.25862068965517243
5;2021-11-01 00:04:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.26600000000000007;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
6;2021-11-01 00:05:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.11600000000000002;660.0000000000001;0.0;489.3103448275863;-0.2586206896551724
7;2021-11-01 00:06:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.31034482758616;-0.2586206896551724
8;2021-11-01 00:07:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
9;2021-11-01 00:08:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
10;2021-11-01 00:09:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
11;2021-11-01 00:10:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
12;2021-11-01 00:11:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
13;2021-11-01 00:12:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
14;2021-11-01 00:13:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
15;2021-11-01 00:14:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
16;2021-11-01 00:15:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
17;2021-11-01 00:16:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
18;2021-11-01 00:17:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
19;2021-11-01 00:18:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
20;2021-11-01 00:19:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
21;2021-11-01 00:20:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.0;489.3103448275862;-0.2586206896551724
22;2021-11-01 00:21:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.5692550401898444;489.3103448275862;-0.2586206896551724
23;2021-11-01 00:22:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.5859400308354364;489.3103448275862;-0.2586206896551724
24;2021-11-01 00:23:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;0.6004395031567904;489.3103448275862;-0.2586206896551724
25;2021-11-01 00:24:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;1.1818242259154013;489.3103448275862;-0.2586206896551724
26;2021-11-01 00:25:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;1.2081125696604178;489.3103448275862;-0.2586206896551724
27;2021-11-01 00:26:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;1.2295636185425904;489.3103448275862;-0.2586206896551724
28;2021-11-01 00:27:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;1.2459014735361993;489.3103448275862;-0.2586206896551724
29;2021-11-01 00:28:00;0.116;0.266;660.0;9.140406661695199;489.3103448275862;-0.2586206896551724;0.266;0.116;660.0000000000001;1.256913796662076;489.3103448275862;-0.2586206896551724
30;2021-11-01 00:29:00;0.116;0.266;660.0;0.0;489.3103448275862;-0.2586206896551724;0.266;0.116;659.588958850048;1.8317114433862867;489.0056074233114;-0.2586206896551724
